date,city,product,category,units_sold,unit_price,customer_type,satisfaction_score
2023-08-08,New York,Cappuccino,Milk-Based,29,5.37,New,10
2023-10-20,Houston,Latte,Milk-Based,23,4.56,Regular,8
2023-09-26,Chicago,Espresso,Classic,19,5.2,Regular,9
2023-10-06,Miami,Mocha,Specialty,17,4.98,Regular,9
2023-08-29,New York,Americano,Classic,16,5.55,New,10
2023-05-10,New York,Cappuccino,Milk-Based,18,4.47,New,8
2023-06-26,Los Angeles,Espresso,Classic,9,5.83,Regular,4
2023-06-20,Los Angeles,Mocha,Specialty,16,5.78,Regular,5
2023-10-07,Chicago,Cappuccino,Milk-Based,26,4.7,Regular,9
2023-12-23,Houston,Americano,Classic,7,3.1,Regular,8
2023-02-02,Houston,Latte,Milk-Based,7,3.89,Regular,8
2023-04-14,New York,Cappuccino,Milk-Based,18,4.27,Regular,9
2023-06-11,Chicago,Espresso,Classic,20,5.53,New,8
2023-08-31,Chicago,Mocha,Specialty,27,5.49,Regular,9
2023-05-27,Chicago,Latte,Milk-Based,14,4.79,Regular,9
2023-05-20,New York,Cappuccino,Milk-Based,12,3.36,New,9
2023-07-24,Houston,Americano,Classic,3,5.09,New,7
2023-04-06,Houston,Cappuccino,Milk-Based,26,5.17,New,7
2023-09-23,Chicago,Cappuccino,Milk-Based,15,5.41,Regular,9
2023-02-10,Houston,Americano,Classic,29,4.98,Regular,9
2023-05-31,Chicago,Mocha,Specialty,1,5.66,Regular,8
2023-06-17,Chicago,Espresso,Classic,12,3.7,New,8
2023-11-05,Houston,Americano,Classic,3,5.61,Regular,7
2023-06-29,Houston,Americano,Classic,13,4.59,Regular,8
2023-11-11,Houston,Cappuccino,Milk-Based,27,5.99,New,7
2023-02-08,Houston,Espresso,Classic,29,5.3,New,8
2023-12-14,Los Angeles,Mocha,Specialty,12,4.88,Regular,5
2023-11-08,Houston,Latte,Milk-Based,12,5.95,Regular,8
2023-02-04,Los Angeles,Latte,Milk-Based,25,4.01,New,5
2023-07-16,Miami,Cappuccino,Milk-Based,5,5.2,Regular,10
2023-03-20,Houston,Mocha,Specialty,3,4.4,New,8
2023-08-16,New York,Cappuccino,Milk-Based,18,3.89,Regular,10
2023-07-07,Houston,Mocha,Specialty,25,3.83,New,7
2023-05-08,New York,Cappuccino,Milk-Based,14,3.14,Regular,10
2023-09-13,Miami,Latte,Milk-Based,25,5.04,New,10
2023-03-02,Chicago,Mocha,Specialty,5,5.36,New,8
2023-04-20,Miami,Americano,Classic,7,5.64,New,9
2023-04-13,New York,Americano,Classic,11,5.71,Regular,10
2023-08-20,Los Angeles,Espresso,Classic,25,5.23,New,5
2023-12-16,Chicago,Espresso,Classic,27,4.2,New,8
2023-10-09,Miami,Espresso,Classic,21,5.49,New,9
2023-03-22,Los Angeles,Cappuccino,Milk-Based,11,3.53,New,4
2023-04-25,New York,Mocha,Specialty,9,3.56,Regular,10
2023-05-02,Houston,Latte,Milk-Based,24,4.05,Regular,8
2023-10-11,Miami,Cappuccino,Milk-Based,22,5.91,New,10
2023-10-10,Los Angeles,Americano,Classic,9,5.78,Regular,4
2023-06-08,Houston,Espresso,Classic,17,3.52,New,8
2023-07-30,Houston,Mocha,Specialty,3,5.27,Regular,6
2023-06-12,New York,Latte,Milk-Based,24,5.69,New,9
2023-12-15,Miami,Americano,Classic,6,4.87,New,8
2023-10-10,Miami,Latte,Milk-Based,9,5.68,Regular,10
2023-08-10,Miami,Latte,Milk-Based,2,4.37,Regular,9
2023-09-23,Los Angeles,Espresso,Classic,3,3.82,New,4
2023-03-24,Chicago,Latte,Milk-Based,3,5.87,Regular,9
2023-09-23,Chicago,Cappuccino,Milk-Based,9,3.99,Regular,7
2023-04-11,Miami,Cappuccino,Milk-Based,5,5.21,New,10
2023-11-17,Chicago,Latte,Milk-Based,24,3.76,Regular,9
2023-11-25,Los Angeles,Mocha,Specialty,8,5.09,Regular,4
2023-12-04,Miami,Latte,Milk-Based,18,3.24,New,10
2023-01-22,New York,Mocha,Specialty,13,5.55,Regular,10
2023-11-25,Miami,Espresso,Classic,13,4.44,New,9
2023-10-20,Houston,Latte,Milk-Based,26,4.71,Regular,7
2023-11-18,Miami,Americano,Classic,2,4.63,New,9
2023-09-05,Los Angeles,Cappuccino,Milk-Based,6,4.56,New,4
2023-08-21,New York,Cappuccino,Milk-Based,28,5.55,Regular,10
2023-08-14,Houston,Latte,Milk-Based,13,5.51,New,8
2023-04-15,Chicago,Americano,Classic,21,5.04,Regular,7
2023-06-13,Chicago,Cappuccino,Milk-Based,28,3.48,New,8
2023-07-09,Miami,Latte,Milk-Based,25,3.09,Regular,9
2023-05-04,Houston,Cappuccino,Milk-Based,10,3.39,Regular,7
2023-08-19,Los Angeles,Cappuccino,Milk-Based,7,3.48,Regular,4
2023-01-26,Chicago,Espresso,Classic,2,5.5,New,8
2023-08-03,Los Angeles,Mocha,Specialty,2,3.86,Regular,4
2023-10-23,Chicago,Cappuccino,Milk-Based,9,4.9,Regular,8
2023-09-13,Miami,Latte,Milk-Based,28,3.03,New,8
2023-06-07,Houston,Americano,Classic,16,3.32,Regular,8
